"filename", "language", "TypeScript", "JavaScript", "Markdown", "JSON", "HTML", "JSON with Comments", "PostCSS", "YAML", "comment", "blank", "total"
"e:\delete\harshad\Playwright-API-Automation\.github\agents\playwright-test-generator.agent.md", "Markdown", 0, 0, 85, 0, 0, 0, 0, 0, 0, 11, 96
"e:\delete\harshad\Playwright-API-Automation\.github\agents\playwright-test-healer.agent.md", "Markdown", 0, 0, 60, 0, 0, 0, 0, 0, 0, 4, 64
"e:\delete\harshad\Playwright-API-Automation\.github\agents\playwright-test-planner.agent.md", "Markdown", 0, 0, 69, 0, 0, 0, 0, 0, 0, 13, 82
"e:\delete\harshad\Playwright-API-Automation\.github\workflows\copilot-setup-steps.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 25, 1, 9, 35
"e:\delete\harshad\Playwright-API-Automation\.github\workflows\playwright.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 27, 0, 1, 28
"e:\delete\harshad\Playwright-API-Automation\README.md", "Markdown", 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"e:\delete\harshad\Playwright-API-Automation\allure-project\app.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"e:\delete\harshad\Playwright-API-Automation\allure-project\data\behaviors.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\delete\harshad\Playwright-API-Automation\allure-project\data\categories.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\delete\harshad\Playwright-API-Automation\allure-project\data\packages.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\delete\harshad\Playwright-API-Automation\allure-project\data\suites.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\delete\harshad\Playwright-API-Automation\allure-project\data\timeline.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\delete\harshad\Playwright-API-Automation\allure-project\export\mail.html", "HTML", 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"e:\delete\harshad\Playwright-API-Automation\allure-project\history\categories-trend.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\delete\harshad\Playwright-API-Automation\allure-project\history\duration-trend.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\delete\harshad\Playwright-API-Automation\allure-project\history\history-trend.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\delete\harshad\Playwright-API-Automation\allure-project\history\history.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\delete\harshad\Playwright-API-Automation\allure-project\history\retry-trend.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\delete\harshad\Playwright-API-Automation\allure-project\index.html", "HTML", 0, 0, 0, 0, 34, 0, 0, 0, 0, 1, 35
"e:\delete\harshad\Playwright-API-Automation\allure-project\plugin\behaviors\index.js", "JavaScript", 0, 256, 0, 0, 0, 0, 0, 0, 0, 21, 277
"e:\delete\harshad\Playwright-API-Automation\allure-project\plugin\packages\index.js", "JavaScript", 0, 141, 0, 0, 0, 0, 0, 0, 0, 20, 161
"e:\delete\harshad\Playwright-API-Automation\allure-project\plugin\screen-diff\index.js", "JavaScript", 0, 194, 0, 0, 0, 0, 0, 0, 0, 7, 201
"e:\delete\harshad\Playwright-API-Automation\allure-project\plugin\screen-diff\styles.css", "PostCSS", 0, 0, 0, 0, 0, 0, 25, 0, 0, 6, 31
"e:\delete\harshad\Playwright-API-Automation\allure-project\styles.css", "PostCSS", 0, 0, 0, 0, 0, 0, 2, 0, 3, 0, 5
"e:\delete\harshad\Playwright-API-Automation\allure-project\widgets\behaviors.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\delete\harshad\Playwright-API-Automation\allure-project\widgets\categories-trend.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\delete\harshad\Playwright-API-Automation\allure-project\widgets\categories.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\delete\harshad\Playwright-API-Automation\allure-project\widgets\duration-trend.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\delete\harshad\Playwright-API-Automation\allure-project\widgets\duration.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\delete\harshad\Playwright-API-Automation\allure-project\widgets\environment.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\delete\harshad\Playwright-API-Automation\allure-project\widgets\executors.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\delete\harshad\Playwright-API-Automation\allure-project\widgets\history-trend.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\delete\harshad\Playwright-API-Automation\allure-project\widgets\launch.json", "JSON with Comments", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\delete\harshad\Playwright-API-Automation\allure-project\widgets\retry-trend.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\delete\harshad\Playwright-API-Automation\allure-project\widgets\severity.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
